序号,作物编号,作物名称,地块类型,种植季次,亩产量/斤,种植成本/(元/亩),销售单价/(元/斤)
1,1,黄豆,平旱地,单季,400.0,400.0,2.50-4.00
2,2,黑豆,平旱地,单季,500.0,400.0,6.50-8.50
3,3,红豆,平旱地,单季,400.0,350.0,7.50-9.00
4,4,绿豆,平旱地,单季,350.0,350.0,6.00-8.00
5,5,爬豆,平旱地,单季,415.0,350.0,6.00-7.50
6,6,小麦,平旱地,单季,800.0,450.0,3.00-4.00
7,7,玉米,平旱地,单季,1000.0,500.0,2.50-3.50
8,8,谷子,平旱地,单季,400.0,360.0,6.00-7.50
9,9,高粱,平旱地,单季,630.0,400.0,5.50-6.50
10,10,黍子,平旱地,单季,525.0,360.0,6.50-8.50
11,11,荞麦,平旱地,单季,110.0,350.0,30.00-50.00
12,12,南瓜,平旱地,单季,3000.0,1000.0,1.00-2.00
13,13,红薯,平旱地,单季,2200.0,2000.0,2.50-4.00
14,14,莜麦,平旱地,单季,420.0,400.0,5.00-6.00
15,15,大麦,平旱地,单季,525.0,350.0,3.00-4.00
16,1,黄豆,梯田,单季,380.0,400.0,2.50-4.00
17,2,黑豆,梯田,单季,475.0,400.0,6.50-8.50
18,3,红豆,梯田,单季,380.0,350.0,7.50-9.00
19,4,绿豆,梯田,单季,330.0,350.0,6.00-8.00
20,5,爬豆,梯田,单季,395.0,350.0,6.00-7.50
21,6,小麦,梯田,单季,760.0,450.0,3.00-4.00
22,7,玉米,梯田,单季,950.0,500.0,2.50-3.50
23,8,谷子,梯田,单季,380.0,360.0,6.00-7.50
24,9,高粱,梯田,单季,600.0,400.0,5.50-6.50
25,10,黍子,梯田,单季,500.0,360.0,6.50-8.50
26,11,荞麦,梯田,单季,105.0,350.0,30.00-50.00
27,12,南瓜,梯田,单季,2850.0,1000.0,1.00-2.00
28,13,红薯,梯田,单季,2100.0,2000.0,2.50-4.00
29,14,莜麦,梯田,单季,400.0,400.0,5.00-6.00
30,15,大麦,梯田,单季,500.0,350.0,3.00-4.00
31,1,黄豆,山坡地,单季,360.0,400.0,2.50-4.00
32,2,黑豆,山坡地,单季,450.0,400.0,6.50-8.50
33,3,红豆,山坡地,单季,360.0,350.0,7.50-9.00
34,4,绿豆,山坡地,单季,315.0,350.0,6.00-8.00
35,5,爬豆,山坡地,单季,375.0,350.0,6.00-7.50
36,6,小麦,山坡地,单季,720.0,450.0,3.00-4.00
37,7,玉米,山坡地,单季,900.0,500.0,2.50-3.50
38,8,谷子,山坡地,单季,360.0,360.0,6.00-7.50
39,9,高粱,山坡地,单季,570.0,400.0,5.50-6.50
40,10,黍子,山坡地,单季,475.0,360.0,6.50-8.50
41,11,荞麦,山坡地,单季,100.0,350.0,30.00-50.00
42,12,南瓜,山坡地,单季,2700.0,1000.0,1.00-2.00
43,13,红薯,山坡地,单季,2000.0,2000.0,2.50-4.00
44,14,莜麦,山坡地,单季,380.0,400.0,5.00-6.00
45,15,大麦,山坡地,单季,475.0,350.0,3.00-4.00
46,16,水稻,水浇地,单季,500.0,680.0,6.00-8.00
47,17,豇豆,水浇地,第一季,3000.0,2000.0,7.00-9.00
48,18,刀豆,水浇地,第一季,2000.0,1000.0,5.50-8.00
49,19,芸豆,水浇地,第一季,3000.0,2000.0,5.00-8.00
50,20,土豆,水浇地,第一季,2000.0,2000.0,3.00-4.50
51,21,西红柿,水浇地,第一季,2400.0,2000.0,5.00-7.50
52,22,茄子,水浇地,第一季,6400.0,2000.0,5.00-6.00
53,23,菠菜,水浇地,第一季,2700.0,2300.0,4.80-6.70
54,24,青椒,水浇地,第一季,2400.0,1600.0,4.00-6.50
55,25,菜花,水浇地,第一季,3300.0,2400.0,5.00-6.00
56,26,包菜,水浇地,第一季,3700.0,2900.0,5.50-7.50
57,27,油麦菜,水浇地,第一季,4100.0,1600.0,4.00-6.00
58,28,小青菜,水浇地,第一季,3200.0,1600.0,5.00-6.50
59,29,黄瓜,水浇地,第一季,12000.0,2900.0,6.00-8.00
60,30,生菜,水浇地,第一季,4100.0,1600.0,4.50-6.00
61,31,辣椒,水浇地,第一季,1600.0,1000.0,6.00-8.50
62,32,空心菜,水浇地,第一季,10000.0,4100.0,3.00-6.00
63,33,黄心菜,水浇地,第一季,5000.0,2000.0,4.00-5.00
64,34,芹菜,水浇地,第一季,5500.0,900.0,3.20-4.80
65,17,豇豆,普通大棚,第一季,3600.0,2400.0,7.00-9.00
66,18,刀豆,普通大棚,第一季,2400.0,1200.0,5.50-8.00
67,19,芸豆,普通大棚,第一季,3600.0,2400.0,5.00-8.00
68,20,土豆,普通大棚,第一季,2400.0,2400.0,3.00-4.50
69,21,西红柿,普通大棚,第一季,3000.0,2400.0,5.00-7.50
70,22,茄子,普通大棚,第一季,8000.0,2400.0,5.00-6.00
71,23,菠菜,普通大棚,第一季,3300.0,2700.0,4.80-6.70
72,24,青椒,普通大棚,第一季,3000.0,2000.0,4.00-6.50
73,25,菜花,普通大棚,第一季,4000.0,3000.0,5.00-6.00
74,26,包菜,普通大棚,第一季,4500.0,3500.0,5.50-7.50
75,27,油麦菜,普通大棚,第一季,5000.0,2000.0,4.00-6.00
76,28,小青菜,普通大棚,第一季,4000.0,2000.0,5.00-6.50
77,29,黄瓜,普通大棚,第一季,15000.0,3500.0,6.00-8.00
78,30,生菜,普通大棚,第一季,5000.0,2000.0,4.50-6.00
79,31,辣椒,普通大棚,第一季,2000.0,1200.0,6.00-8.50
80,32,空心菜,普通大棚,第一季,12000.0,5000.0,3.00-6.00
81,33,黄心菜,普通大棚,第一季,6000.0,2500.0,4.00-5.00
82,34,芹菜,普通大棚,第一季,6600.0,1100.0,3.20-4.80
83,35,大白菜,水浇地,第二季,5000.0,2000.0,2.00-3.00
84,36,白萝卜,水浇地,第二季,4000.0,500.0,2.00-3.00
85,37,红萝卜,水浇地,第二季,3000.0,500.0,2.50-4.00
86,38,榆黄菇,普通大棚,第二季,5000.0,3000.0,50.00-65.00
87,39,香菇,普通大棚,第二季,4000.0,2000.0,18.00-20.00
88,40,白灵菇,普通大棚,第二季,10000.0,10000.0,14.00-18.00
89,41,羊肚菌,普通大棚,第二季,1000.0,10000.0,80.00-120.00
90,17,豇豆,智慧大棚,第二季,3200.0,2640.0,8.40-10.80
91,18,刀豆,智慧大棚,第二季,2200.0,1320.0,6.60-9.60
92,19,芸豆,智慧大棚,第二季,3200.0,2640.0,6.00-9.60
93,20,土豆,智慧大棚,第二季,2200.0,2640.0,3.60-5.40
94,21,西红柿,智慧大棚,第二季,2700.0,2640.0,6.00-9.00
95,22,茄子,智慧大棚,第二季,7200.0,2640.0,6.00-7.20
96,23,菠菜,智慧大棚,第二季,3000.0,3000.0,5.80-8.00
97,24,青椒,智慧大棚,第二季,2700.0,2200.0,5.80-7.80
98,25,菜花,智慧大棚,第二季,3600.0,3300.0,6.00-7.20
99,26,包菜,智慧大棚,第二季,4100.0,3850.0,6.60-9.00
100,27,油麦菜,智慧大棚,第二季,4500.0,2200.0,4.80-7.20
101,28,小青菜,智慧大棚,第二季,3600.0,2200.0,6.00-7.80
102,29,黄瓜,智慧大棚,第二季,13500.0,3850.0,7.20-9.60
103,30,生菜,智慧大棚,第二季,4500.0,2200.0,5.40-7.20
104,31,辣椒,智慧大棚,第二季,1800.0,1300.0,7.20-10.20
105,32,空心菜,智慧大棚,第二季,11000.0,5500.0,3.60-7.20
106,33,黄心菜,智慧大棚,第二季,5400.0,2750.0,4.80-6.00
107,34,芹菜,智慧大棚,第二季,6000.0,1200.0,3.80-5.80
